"STATE","DATERECORDED","TOTAL_POP","ICU_AVG","DEATH_TOT",
"MA",2020-05-13 00:00:00,6902149,0.597,5141,
"IA",2020-05-13 00:00:00,3019688,0.377,289,
"MS",2020-05-13 00:00:00,2909479,0.479,457,
"TN",2020-05-13 00:00:00,6470820,0.553,266,
"MD",2020-05-13 00:00:00,5130732,0.618,1756,
"MO",2020-05-13 00:00:00,5205805,0.481,529,
"WY",2020-05-13 00:00:00,567924,0.302,7,
"WA",2020-05-13 00:00:00,7476334,0.502,962,
"DE",2020-05-13 00:00:00,967171,0.68,237,
"PR",2020-05-13 00:00:00,0,0.687,114,
"ID",2020-05-13 00:00:00,1648993,0.446,69,
"WV",2020-05-13 00:00:00,1630954,0.479,58,
"GA",2020-05-13 00:00:00,9588781,0.574,1498,
"IN",2020-05-13 00:00:00,6409751,0.404,1578,
"HI",2020-05-13 00:00:00,1420403,0.663,17,
"NH",2020-05-13 00:00:00,1356458,0.461,142,
"NV",2020-05-13 00:00:00,3027534,0.638,321,
"PA",2020-05-13 00:00:00,12621902,0.506,3914,
"ND",2020-05-13 00:00:00,696487,0.492,38,
"OH",2020-05-13 00:00:00,11442746,0.464,1436,
"SD",2020-05-13 00:00:00,799465,0.272,39,
"TX",2020-05-13 00:00:00,27932132,0.469,1146,
"FL",2020-05-13 00:00:00,21172397,0.663,1779,
"NM",2020-05-13 00:00:00,1988621,0.444,219,
"NC",2020-05-13 00:00:00,10012851,0.544,600,
"AR",2020-05-13 00:00:00,2729590,0.434,95,
"AL",2020-05-13 00:00:00,4754221,0.489,435,
"MT",2020-05-13 00:00:00,1043488,0.474,16,
"LA",2020-05-13 00:00:00,4530405,0.437,2347,
"AK",2020-05-13 00:00:00,696053,0.503,10,
"AZ",2020-05-13 00:00:00,7162163,0.465,562,
"IL",2020-05-13 00:00:00,12370759,0.429,3601,
"OR",2020-05-13 00:00:00,4133368,0.501,130,
"MN",2020-05-13 00:00:00,5442222,0.392,614,
"CO",2020-05-13 00:00:00,5514613,0.459,1010,
"NJ",2020-05-13 00:00:00,8908520,0.575,9531,
"KY",2020-05-13 00:00:00,3829332,0.502,321,
"KS",2020-05-13 00:00:00,2855377,0.37,184,
"OK",2020-05-13 00:00:00,3900060,0.423,278,
"MI",2020-05-13 00:00:00,9808758,0.518,4674,
"RI",2020-05-13 00:00:00,1008666,0.648,444,
"DC",2020-05-13 00:00:00,702455,0.63,336,
"SC",2020-05-13 00:00:00,4756777,0.528,355,
"VA",2020-05-13 00:00:00,6836948,0.557,892,
"ME",2020-05-13 00:00:00,1302770,0.538,65,
"NY",2020-05-13 00:00:00,19346227,0.527,27284,
"NE",2020-05-13 00:00:00,1830761,0.512,100,
"WI",2020-05-13 00:00:00,5683383,0.43,418,
"UT",2020-05-13 00:00:00,3131467,0.422,73,
"CT",2020-05-13 00:00:00,3572665,0.598,3041,
"CA",2020-05-13 00:00:00,39555944,0.532,2879,
"VT",2020-05-13 00:00:00,612959,0.381,53,
