"STATE","DATERECORDED","TOTAL_POP","ICU_AVG","DEATH_TOT"
"VA",2020-05-09 00:00:00,6836948,0.557,812
"MN",2020-05-09 00:00:00,5442222,0.392,534
"KY",2020-05-09 00:00:00,3829332,0.502,298
"NE",2020-05-09 00:00:00,1830761,0.512,90
"ID",2020-05-09 00:00:00,1648993,0.446,67
"AZ",2020-05-09 00:00:00,7162163,0.465,517
"RI",2020-05-09 00:00:00,1008666,0.648,399
"MI",2020-05-09 00:00:00,9808758,0.518,4399
"WY",2020-05-09 00:00:00,567924,0.302,7
"CA",2020-05-09 00:00:00,39555944,0.532,2613
"OR",2020-05-09 00:00:00,4133368,0.501,124
"FL",2020-05-09 00:00:00,21172397,0.663,1669
"SD",2020-05-09 00:00:00,799465,0.272,31
"IN",2020-05-09 00:00:00,6409751,0.404,1447
"TN",2020-05-09 00:00:00,6470820,0.553,242
"MT",2020-05-09 00:00:00,1043488,0.474,16
"NM",2020-05-09 00:00:00,1988621,0.444,181
"IA",2020-05-09 00:00:00,3019688,0.377,243
"PA",2020-05-09 00:00:00,12621902,0.506,3715
"AL",2020-05-09 00:00:00,4754221,0.489,383
"VT",2020-05-09 00:00:00,612959,0.381,53
"CT",2020-05-09 00:00:00,3572665,0.598,2874
"AR",2020-05-09 00:00:00,2729590,0.434,88
"NC",2020-05-09 00:00:00,10012851,0.544,530
"CO",2020-05-09 00:00:00,5514613,0.459,960
"PR",2020-05-09 00:00:00,0,0.687,107
"ND",2020-05-09 00:00:00,696487,0.492,33
"SC",2020-05-09 00:00:00,4756777,0.528,320
"IL",2020-05-09 00:00:00,12370759,0.429,3241
"KS",2020-05-09 00:00:00,2855377,0.37,168
"MS",2020-05-09 00:00:00,2909479,0.479,409
"MA",2020-05-09 00:00:00,6902149,0.597,4702
"NJ",2020-05-09 00:00:00,8908520,0.575,8960
"NV",2020-05-09 00:00:00,3027534,0.638,294
"LA",2020-05-09 00:00:00,4530405,0.437,2227
"GA",2020-05-09 00:00:00,9588781,0.574,1400
"WV",2020-05-09 00:00:00,1630954,0.479,52
"WI",2020-05-09 00:00:00,5683383,0.43,384
"ME",2020-05-09 00:00:00,1302770,0.538,63
"MD",2020-05-09 00:00:00,5130732,0.618,1560
"UT",2020-05-09 00:00:00,3131467,0.422,61
"NY",2020-05-09 00:00:00,19346227,0.527,26243
"OH",2020-05-09 00:00:00,11442746,0.464,1306
"MO",2020-05-09 00:00:00,5205805,0.481,483
"OK",2020-05-09 00:00:00,3900060,0.423,266
"DC",2020-05-09 00:00:00,702455,0.63,304
"HI",2020-05-09 00:00:00,1420403,0.663,17
"DE",2020-05-09 00:00:00,967171,0.68,213
"TX",2020-05-09 00:00:00,27932132,0.469,1025
"AK",2020-05-09 00:00:00,696053,0.503,10
"WA",2020-05-09 00:00:00,7476334,0.502,905
"NH",2020-05-09 00:00:00,1356458,0.461,121
