dataGrade,dataQualityGrade,death,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,negative,onVentilatorCumulative,onVentilatorCurrently,positive,recovered,state,total,Date
A,C,9,,,13.0,,,22321,,,371,277.0,AK,22692,05/05/2020
B,B,313,1107.0,1107.0,,428.0,,98481,255.0,,8285,,AL,106766,05/05/2020
A,B,80,453.0,453.0,89.0,,,51139,89.0,16.0,3496,2041.0,AR,54635,05/05/2020
B,A+,395,1397.0,1397.0,728.0,,303.0,78955,,185.0,9305,1671.0,AZ,88260,05/05/2020
B,B,2317,,,4622.0,,1388.0,723690,,,56212,,CA,779902,05/05/2020
A,B,851,2838.0,2838.0,834.0,,,68097,,,16907,2743.0,CO,85004,05/05/2020
A,B,2633,7758.0,7758.0,1500.0,,,78022,,,30621,4346.0,CT,108643,05/05/2020
A,A+,264,,,447.0,,130.0,19007,,91.0,5322,667.0,DC,24329,05/05/2020
A,B,187,,,284.0,,,19309,,,5371,1847.0,DE,24680,05/05/2020
A,C,1536,6546.0,6546.0,,,,428252,,,37439,,FL,466956,05/05/2020
A,A,1288,5634.0,5634.0,,1318.0,,171172,,,29711,,GA,200883,05/05/2020
A,B,17,73.0,73.0,,,,33378,,,621,548.0,HI,33999,05/05/2020
A,B,207,,,407.0,,152.0,50458,,94.0,10111,3572.0,IA,60569,05/05/2020
A,C,64,201.0,201.0,,83.0,,28202,,,2106,1358.0,ID,30308,05/05/2020
A,A,2838,,,4780.0,,1266.0,280324,,780.0,65962,,IL,346286,05/05/2020
B,A+,1326,,,1537.0,,480.0,94801,,272.0,21033,,IN,115834,05/05/2020
B,A,137,566.0,566.0,,212.0,,34634,95.0,,5458,296.0,KS,40092,05/05/2020
A,A,261,1529.0,1529.0,333.0,659.0,174.0,54802,,,5245,1892.0,KY,60047,05/05/2020
A,B,2115,,,1512.0,,,158235,,194.0,29996,20316.0,LA,188231,05/05/2020
B,A,4212,6831.0,6831.0,3542.0,,914.0,263078,,,70271,,MA,333349,05/05/2020
A,A,1390,5337.0,5337.0,1693.0,,573.0,112986,,,27117,1810.0,MD,140103,05/05/2020
A,B,61,187.0,187.0,36.0,,18.0,19546,,12.0,1226,741.0,ME,20772,05/05/2020
B,A+,4179,,,1948.0,,839.0,178439,,670.0,44397,15659.0,MI,222836,05/05/2020
A,A,455,1350.0,1350.0,434.0,475.0,182.0,80158,,,7851,4614.0,MN,88009,05/05/2020
A,B,377,,,893.0,,,86150,,139.0,8916,,MO,95066,05/05/2020
A,B,342,1352.0,1352.0,645.0,,162.0,72101,,77.0,8207,4421.0,MS,80308,05/05/2020
A,C,16,62.0,62.0,6.0,,,14816,,,456,410.0,MT,15272,05/05/2020
A,B,452,,,534.0,,,139544,,,12256,,NC,151800,05/05/2020
B,C,25,95.0,95.0,31.0,,,35155,,,1266,559.0,ND,36421,05/05/2020
A,D,78,,,,,,28526,,,6083,,NE,34609,05/05/2020
B,C,86,286.0,286.0,111.0,82.0,,24282,,,2588,1019.0,NH,26949,05/05/2020
A,A+,8244,,,5328.0,,1534.0,157030,,1169.0,130593,15642.0,NJ,288173,05/05/2020
A,C,156,667.0,667.0,181.0,,,77689,,,4031,842.0,NM,81720,05/05/2020
A,D,268,,,,,,42290,,,5594,200.0,NV,47884,05/05/2020
A,B,19645,69867.0,69867.0,9603.0,,,707707,,,321192,58950.0,NY,1028899,05/05/2020
B,B,1135,3956.0,3956.0,1069.0,1123.0,402.0,139766,,281.0,20969,,OH,160735,05/05/2020
B,A,247,773.0,773.0,236.0,,113.0,75290,,,4127,2830.0,OK,79417,05/05/2020
A,A+,113,622.0,622.0,219.0,,49.0,62585,,25.0,2839,860.0,OR,65424,05/05/2020
A,C,3012,,,2580.0,,,199925,,550.0,50957,,PA,250882,05/05/2020
B,A+,355,1092.0,1092.0,327.0,,89.0,66502,,62.0,9933,639.0,RI,76435,05/05/2020
B,B,283,1110.0,1110.0,,,,61014,,,6757,3622.0,SC,67771,05/05/2020
A,C,24,220.0,220.0,75.0,,,16301,,,2721,1895.0,SD,19022,05/05/2020
A,B,226,1156.0,1156.0,,,,205172,,,13690,6356.0,TN,218862,05/05/2020
A,B,906,,,1888.0,,,393841,,,33369,16791.0,TX,427210,05/05/2020
A,C,56,456.0,456.0,,,,121266,,,5449,2387.0,UT,126715,05/05/2020
A,A+,713,4113.0,4113.0,1496.0,,361.0,93452,,189.0,20256,2617.0,VA,114177,05/05/2020
A,B,52,,,33.0,,2.0,16611,,0.0,907,,VT,17518,05/05/2020
C,B,841,,,292.0,,102.0,200858,,,15462,,WA,216320,05/05/2020
A,A+,353,1663.0,1663.0,543.0,414.0,92.0,83967,,,8566,4131.0,WI,92769,05/05/2020
B,C,50,,,64.0,,23.0,53585,,12.0,1238,630.0,WV,54823,05/05/2020
A,C,7,60.0,60.0,13.0,,,10319,,,596,405.0,WY,10915,05/05/2020
A,D,99,,,,,,9313,,,1924,,PR,11237,05/05/2020
,F,0,,,,,,83,,,0,,AS,83,05/05/2020
,F,5,,,,,,3341,,,149,124.0,GU,3490,05/05/2020
,D,2,,,,,,1783,,,14,12.0,MP,1797,05/05/2020
,C,4,,,,,,973,,,66,51.0,VI,1073,05/05/2020
