state,Weight,number_of_deliveries,Cost,Date
AK,210.0,1,1095.85,05/05/2020
AL,760.0,12,4270.22,05/05/2020
AR,315.0,9,1969.73,05/05/2020
AZ,4598.0,13,55545.7,05/05/2020
CA,51682.0,435,1942084.86,05/05/2020
CO,1077.0,19,5274.69,05/05/2020
CT,2838.0,32,724174.1,05/05/2020
DC,235.0,2,1204.86,05/05/2020
DE,3646.0,2,48859.03,05/05/2020
FL,5482.0,84,69128.98,05/05/2020
GA,2260.0,45,12806.99,05/05/2020
HI,315.0,9,1969.23,05/05/2020
IA,310.0,5,1532.41,05/05/2020
ID,525.0,10,3065.07,05/05/2020
IL,1474.0,32,15481.32,05/05/2020
IN,855.0,18,4959.82,05/05/2020
KS,757.0,13,4826.62,05/05/2020
KY,535.0,14,3501.66,05/05/2020
LA,1926.0,47,46929.72,05/05/2020
MA,13569.0,56,139829.27,05/05/2020
MD,16615.0,16,168824.36,05/05/2020
ME,275.0,11,1200.45,05/05/2020
MI,1218.0,27,11057.17,05/05/2020
MN,310.0,5,1532.17,05/05/2020
MO,1561.0,30,8102.27,05/05/2020
MS,1325.0,27,6894.82,05/05/2020
MT,100.0,4,436.81,05/05/2020
NC,3362.0,63,22218.03,05/05/2020
ND,405.0,5,2519.5,05/05/2020
NE,125.0,5,545.35,05/05/2020
NH,25.0,1,109.26,05/05/2020
NJ,2909.0,38,308485.43,05/05/2020
NM,65.0,2,218.04,05/05/2020
NV,285.0,4,1423.16,05/05/2020
NY,24882.0,208,1476820.87,05/05/2020
OH,3095.0,62,21564.59,05/05/2020
OK,1615.0,24,9527.71,05/05/2020
OR,710.0,10,4051.69,05/05/2020
PA,1027.0,27,9878.08,05/05/2020
PR,25813.0,59,128030.16,05/05/2020
RI,265.0,3,1314.37,05/05/2020
SC,995.0,25,5690.19,05/05/2020
SD,140.0,2,1204.87,05/05/2020
TN,1365.0,21,7226.33,05/05/2020
TX,11710.0,182,102784.8,05/05/2020
UT,410.0,9,1969.49,05/05/2020
VA,2949.0,58,19716.29,05/05/2020
VI,222.0,4,852.14,05/05/2020
VT,75.0,3,327.55,05/05/2020
WA,8813.0,41,142633.9,05/05/2020
WI,1075.0,21,6239.63,05/05/2020
WV,810.0,14,4488.71,05/05/2020
WY,545.0,7,3724.38,05/05/2020
